alias	catalog_part_num
20379p01.dat	20379c01pr0001
20379p02.dat	20379c01pr0008
20379p03.dat	20379c01pr0109
20379p04.dat	20379c01pr0007
20381.dat	20381c01
20381p01.dat	20381c01pr0001
20381p02.dat	20381c01pr0002
20398p01.dat	20398c01
2044c01.dat	2045c01
20460bp00.dat	970c28pat27
20460bp01.dat	970c28pat22
20460bp02.dat	970c27pat28
20460bp03.dat	970c27pat38
20460bp04.dat	970c28pat01
20460bp05.dat	970c12pat03
20460bp06.dat	970c32pat07
20460bp07.dat	970c24pat10
20460bp08.dat	970c24pat35
20460bp09.dat	970c29pat05
20460bp0a.dat	970c11pat19
20460bp0c.dat	970c38pat19
20460bp0e.dat	970c03pat09
20460bp0g.dat	970c33pat09
20460bp0h.dat	970c28pat41
20460bpckc.dat	970c09pat06
20460bpd87.dat	970c06pat03
20460bpd92.dat	970c03pat01pr1882
20460bpdgb.dat	970c09pat27pr1422
20460bpx0.dat	970c27pat03pr1590
20460bpx1.dat	970c27pat24pr0001
20461bp00.dat	970c28pat02pr1113
20461bp01.dat	970c05pat10pr0001
20461bp02.dat	970c28pat27
20461bp03.dat	970c28pat22
20461bp04.dat	970c27pat28
20461bp05.dat	970c27pat38
20461bp06.dat	970c28pat01
20461bp07.dat	970c12pat03
20461bp08.dat	970c32pat07
20461bp09.dat	970c24pat10
20461bp0a.dat	970c24pat35
20461bp0c.dat	970c29pat05
20461bp0e.dat	970c11pat19
20461bp0g.dat	970c38pat19
20461bp0h.dat	970c03pat09
20461bpckc.dat	970c33pat09
20461bpd87.dat	970c28pat41
20461bpd92.dat	970c09pat06
