alias	name	description
58772.dat	58772.dat	=Hemisphere  3 x  3 Ball Turret
4145p02c01.dat	4145p02c01.dat	Duplo Brick  1 x  4 x  3 with Black Clock Face Pattern and Red Articulated Hands
4066a.dat	4066a.dat	Duplo Brick  1 x  2 x  2 Type 1
190605b.dat	190605b.dat	"Sticker  1.0 x  1.8 with Red ""Shell"" on White Background"
3068bpz1.dat	3068bpz1.dat	Tile  2 x  2 with Black Zigzag Pattern
6451314h.dat	6451314h.dat	Sticker  1.9 x  0.9 with Red, Metallic Silver and Blue Stripes on White Background
3011pt5.dat	3011pt5.dat	"Duplo Brick  2 x  4 with Yellow ""HOTEL"" Pattern"
3069bpc6.dat	3069bpc6.dat	Tile  1 x  2 with Cell Phone / Music Player Pattern
004612a.dat	004612a.dat	"Sticker  1.1 x  3.9 with White ""Cadillac"" on Black Background"
u9110.dat	u9110.dat	~Electric Mindstorms NXT Colour Sensor Shell Front
6145p01.dat	6145p01.dat	~Animal Dragon Body Back with Metallic Gold Oriental Pattern
80319.dat	80319.dat	Baseplate  8 x  8 with Adhesive Tape
63082.dat	63082.dat	Plate  2 x  2 with Socket Joint-8 Square and Axlehole
4868ad01.dat	4868ad01.dat	Plane Jet Engine with Plate  1 x  2 with Emirates Logo Sticker Left
949ac02.dat	949ac02.dat	Train Track  4.5V Point Type 1 Tapered Right (Branching)
13571.dat	13571.dat	Minifig Tomahawk with Flat-Silver Blade
15535p02.dat	15535p02.dat	Tile  2 x  2 Round with Hole with Disc with Light Blue Ring Pattern
15100.dat	15100.dat	Technic Pin with Friction with Perpendicular Pin Hole Type 1
u9104.dat	u9104.dat	~Figure Fabuland Neck
2607bc01.dat	2607bc01.dat	Magnet Holder  2 x  3 Technic Brick with Black Magnet
92709.dat	92709.dat	Boat Hull Floating 28 x  8
4616559a.dat	4616559a.dat	Sticker  3.7 x 10 with Maersk Logo and Text
20952p01.dat	20952p01.dat	Brick Round  1.4 x  1.4 x  0.667 Dome Top with SW BB-8 Droid Head with Small Photoreceptor Pattern
87079p0g.dat	87079p0g.dat	Tile  2 x  4 with Airport Departures and Arrivals Board Pattern
825ap03.dat	825ap03.dat	Door  1 x  3 x  4 Left with Vertical Handle with Yellow Lower Section Pattern
3069bpb2.dat	3069bpb2.dat	Tile  1 x  2 with Black and Dark Bluish Grey Crossed Lines and 4 Rivets Pattern
6309ptb.dat	6309ptb.dat	"Duplo Tile  2 x  2 with ""B"" Pattern"
71372k01.dat	71372k01.dat	~Technic Tread Segment - Straight
4628.dat	4628.dat	Jack Handle
2431p80.dat	2431p80.dat	Tile 1 x 4 with Red Triangle Pattern
98224.dat	98224.dat	~Moved to 98224b
3626bps8.dat	3626bps8.dat	Minifig Head with SW Darth Maul Pattern
31111p07.dat	31111p07.dat	Duplo Brick  2 x  4 x  2 with Tiger Head Pattern
