alias	categories
24121d01.dat	Sticker Shortcut
24121d02.dat	Sticker Shortcut
24130.dat	Sphere
24131.dat	Figure Accessory
24132.dat	Sphere
24151.dat	Vehicle
241901.dat	Obsolete
241921.dat	Obsolete
24201d00.dat	Sticker Shortcut
24201d01.dat	Sticker Shortcut
242021.dat	Obsolete
24230.dat	Minifig Headwear
24230p01.dat	Minifig Headwear
2424.dat	Container
24309db0.dat	Sticker Shortcut
24309db1.dat	Sticker Shortcut
24309dy0.dat	Sticker Shortcut
24309dy1.dat	Sticker Shortcut
24309dy2.dat	Sticker Shortcut
24309dy3.dat	Sticker Shortcut
243101.dat	Obsolete
24312.dat	Minifig Accessory
2431d01.dat	Obsolete
2431d02.dat	Sticker Shortcut
2431d03.dat	Sticker Shortcut
2431d04.dat	Sticker Shortcut
2431d05.dat	Sticker Shortcut
2431d06.dat	Sticker Shortcut
2431d07.dat	Sticker Shortcut
2431d08.dat	Sticker Shortcut
2431d09.dat	Sticker Shortcut
2431d0a.dat	Sticker Shortcut
2431d0b.dat	Sticker Shortcut
2431d0c.dat	Sticker Shortcut
2431d0d.dat	Sticker Shortcut
2431d0e.dat	Sticker Shortcut
2431d0f.dat	Sticker Shortcut
2431d0g.dat	Sticker Shortcut
2431d0h.dat	Sticker Shortcut
2431d0i.dat	Sticker Shortcut
2431d0l.dat	Sticker Shortcut
2431d0m.dat	Sticker Shortcut
2431d0n.dat	Sticker Shortcut
2431d0o.dat	Sticker Shortcut
2431d0p.dat	Sticker Shortcut
2431d0r.dat	Sticker Shortcut
2431d50.dat	Sticker Shortcut
2431df0.dat	Sticker Shortcut
2431dm0.dat	Sticker Shortcut
2431dm1.dat	Sticker Shortcut
2431dm2.dat	Sticker Shortcut
2431dm3.dat	Sticker Shortcut
2431dm4.dat	Sticker Shortcut
2431dm5.dat	Sticker Shortcut
2431dm6.dat	Sticker Shortcut
2431dm7.dat	Sticker Shortcut
2431dm8.dat	Sticker Shortcut
2431dm9.dat	Sticker Shortcut
2431dma.dat	Sticker Shortcut
2431dq0.dat	Sticker Shortcut
2431dq1.dat	Sticker Shortcut
2431ds0.dat	Sticker Shortcut
2431dt0.dat	Sticker Shortcut
2431dt1.dat	Sticker Shortcut
2431dt2.dat	Sticker Shortcut
2431dt3.dat	Sticker Shortcut
2431dt4.dat	Sticker Shortcut
2431dt5.dat	Sticker Shortcut
2431dy0.dat	Sticker Shortcut
24324.dat	Minifig Accessory
243c02.dat	Obsolete
2440d01.dat	Sticker Shortcut
2440p68.dat	Obsolete
2446.dat	Obsolete
2446p01.dat	Obsolete
2446p50.dat	Obsolete
2446p51.dat	Obsolete
